title,author,price
 玩转ChatGPT办公：秒懂AI提问+写作 当当套装2册 赠GPT Midjourney使用手册,秋叶 刘进新 贾凝墨 万静 秋叶 刘进新 姜梅 定秋枫,¥119.60
 Excel高效办公应用与技巧大全第2版 excel高效办公数据处理与分析 excel图表之道 excel函数与公式 ex,IT新时代教育 编著,¥68.40
 机器视觉技术基础,肖苏华 主编,¥34.50
 Scratch少儿趣味编程100例全彩版 Scratch 3.0零基础启蒙 43小时独家视频讲解 小学生趣味编程 教孩子,爱编程的魏校长 编著,¥88.00
 乐高机械结构设计,程罡,¥44.50
 Python量化交易实战 基本面量化投资策略 量化交易算法之路 量化交易核心技术开发从入门到精通 量化交易从入门到实践,李天胜,¥68.40
 微信公众号平台操作与版式设计（微课版）,文杰书院,¥44.50
 Python语言程序设计教程（第2版）,王永国 主编；胡学刚 总主编；郑尚志 总主审,¥28.30
 微课设计与制作标准教程（全彩微课版）,钱慎一、石月凤,¥29.90
 用户故事地图,Feff，Patton著，李涛 著,¥34.90
 电商运营经理实战工作手册,滕宝红，徐梅,¥39.50
 CLR via C#（第4版）,（美）李希特 著，周靖 译,¥54.50
 Python网络爬虫从入门到实践（全彩版）自动化数据采集，入门知识，项目实践,明日科技 李磊 陈风,¥96.00
 Python数据结构与算法分析（第3版）,[美] 布拉德利,¥49.90
 大话计算机：计算机系统底层架构原理极限剖析 全新版,冬瓜哥,¥349.00
 数据分析——统计、描述、预测与应用,[葡]乔·门德斯·莫雷拉 [巴西]安德烈·卡瓦略 [匈]托马斯·霍瓦斯 著 吴常玉 译,¥39.50
 最强教科书系列：Excel函数与公式+宏+完全版,（日）北见昭子 （日）国本温子,¥237.00
 Python算法设计与分析从入门到精通,明日科技,¥39.90
 父与子的编程之旅 与小卡特一起学Python 第3版（全彩印刷）,[美] 沃伦·桑德（Warren Sande） 卡特·桑德（Carter San,¥59.50
 中文版 UG NX 12.0数控加工从入门到精通实战案例+视频讲解 ug12教程教材 数控编程模具设计 cad从入门到精,天工在线,¥88.00
 WPS函数与公式速查大全,博蓄诚品 编著,¥64.00
 剪映短视频剪辑从入门到精通,卫琳、和孟佯,¥44.00
 Python网络爬虫技术与应用,邓维 李贝 汤小洋 主编 康毅滨 林海玉 刘燕秋 林建雄 刘庆胜 钟晓颖 副主编,¥34.90
 鸿蒙应用开发零基础入门(微课视频版）,倪红军,¥49.90
 C#高级编程(第12版),[奥]克里斯琴·内格尔(Chrisitian Nagel) 著 李铭译,¥99.00
 中小学Python编程项目学习创意课堂（微课版）,方其桂 主编，梁祥 刘锋 副主编,¥39.90
 人工智能简史 第2版,[美] 尼克,¥39.50
 我跟爸爸学编程：从Python到C++,叶哲语、叶洪涛,¥29.50
 自动调节系统解析与PID整定,白志刚编著,¥24.00
 数据中心暖通系统运维,杨迅、汪俊宇、刘相坤,¥24.50
 Photoshop CC完全自学教程：从入门到实践,张雨秋 著，竹石文化 出品,¥23.90
 火球——UML大战需求分析（第二版）,张传波 著,¥32.60
 Rust程序设计（第2版）,[美]吉姆·布兰迪（Jim Blandy）[美]贾森·奥伦多夫（Jason Or,¥89.90
